Graph,Num_modules,Qvalue,Tvalue,Epidemic_size(%),SD,SE
poisson,5,0.4,0.3,88.8722931777,0.5128425867,0.0037872148
poisson,5,0.5,0.3,88.8820519112,0.5185054089,0.0038288245
poisson,5,0.6,0.3,88.8959439027,0.5153037532,0.0038140316
poisson,5,0.7,0.3,88.8975534738,0.5118618347,0.003766644
poisson,10,0.1,0.3,88.9421079101,0.516412927,0.0038181645
poisson,10,0.2,0.3,88.8754350202,0.5124238845,0.0037881534
poisson,10,0.3,0.3,88.8651874244,0.5186928554,0.0038454412
poisson,10,0.4,0.3,88.8510644969,0.5122483316,0.00376643
poisson,10,0.5,0.3,88.8895320224,0.5138148734,0.0038080216
poisson,10,0.6,0.3,88.8822718141,0.512885024,0.0037792931
poisson,10,0.7,0.3,88.8824767378,0.5167092322,0.0038227592
poisson,10,0.8,0.3,88.8896940286,0.5150341856,0.0038138127
poisson,100,0.1,0.3,89.2353226869,0.5033713392,0.0037289835
poisson,100,0.2,0.3,88.950636423,0.5099354126,0.0037609293
poisson,100,0.3,0.3,88.8870586635,0.5120747873,0.0037775298
poisson,100,0.4,0.3,88.8934981196,0.5143752082,0.0037974975
poisson,100,0.5,0.3,88.874964064,0.5201738461,0.0038383204
poisson,100,0.6,0.3,88.8729104884,0.5176032897,0.0038216421
poisson,100,0.7,0.3,88.8457980456,0.5188626567,0.0038230291
poisson,100,0.8,0.3,88.7875716934,0.5315470599,0.0039248076
poisson,100,0.9,0.3,88.6607578397,0.5549671594,0.0040948345
poisson,125,0.1,0.3,89.24396038,0.5117922252,0.0037601299
poisson,125,0.2,0.3,88.9612310388,0.5095315861,0.0037705858
poisson,125,0.3,0.3,88.914476454,0.5084878387,0.0037453667
poisson,125,0.4,0.3,88.8879603875,0.5151192952,0.0037893837
poisson,125,0.5,0.3,88.9056095149,0.5159066613,0.0038238395
poisson,125,0.6,0.3,88.8742386091,0.513693694,0.0037923627
poisson,125,0.7,0.3,88.8262974443,0.525692717,0.0038765117
poisson,125,0.8,0.3,88.756466067,0.5385767762,0.0039763881
poisson,125,0.9,0.3,88.5814761358,0.5701514226,0.0042157174
geometric,10,0,0.3,73.0591320377,0.5926765163,0.0046850801
geometric,2,0.1,0.3,72.2340041743,0.6033655842,0.0047984488
geometric,2,0.2,0.3,72.2099189873,0.5949756881,0.0047333724
geometric,2,0.3,0.3,72.2266774644,0.5971164033,0.0047588439
geometric,2,0.4,0.3,72.2411730243,0.5850867002,0.0046690542
geometric,5,0.1,0.3,72.2898670587,0.5940185427,0.0047489581
geometric,5,0.2,0.3,72.3337812678,0.5876043958,0.0046760616
geometric,5,0.3,0.3,72.3212070839,0.5876038044,0.0046984255
geometric,5,0.4,0.3,72.2924529385,0.5886432654,0.0047022295
geometric,5,0.5,0.3,72.3252170357,0.588743034,0.0046696234
geometric,5,0.6,0.3,72.3009004739,0.5737924226,0.004591956
geometric,5,0.7,0.3,72.3082777884,0.5806052927,0.0046259332
geometric,10,0.1,0.3,72.3907055331,0.5905025234,0.0046930358
geometric,10,0.2,0.3,72.3230540678,0.5943696825,0.0047460054
geometric,10,0.3,0.3,72.286326388,0.594948586,0.0047418682
geometric,10,0.4,0.3,72.298974212,0.5778722388,0.0046111883
geometric,10,0.5,0.3,72.3228186259,0.5810093589,0.0046276839
geometric,10,0.6,0.3,72.328657943,0.5838236608,0.0046418615
geometric,10,0.7,0.3,72.2850642121,0.5947154359,0.0047302542
geometric,10,0.8,0.3,72.3153336707,0.5960380856,0.0047404745
geometric,100,0.1,0.3,73.6028109252,0.5932486354,0.0046793796
geometric,100,0.2,0.3,73.1149860246,0.5962894064,0.0047525549
geometric,100,0.3,0.3,73.1865859365,0.5914577177,0.0047033017
geometric,100,0.4,0.3,73.134712826,0.5919682982,0.0047158685
geometric,100,0.5,0.3,73.2163976243,0.5923346253,0.0046835482
geometric,100,0.6,0.3,73.2931857742,0.5916626247,0.0046817485
geometric,100,0.7,0.3,73.3684334629,0.5958541319,0.0047186099
geometric,100,0.8,0.3,73.4783227789,0.5992908444,0.0047453791
geometric,100,0.9,0.3,73.5493809317,0.6160267878,0.004851808
geometric,125,0.1,0.3,73.7029977587,0.5884341173,0.0046429931
geometric,125,0.2,0.3,73.2988617174,0.6013891544,0.0047560339
geometric,125,0.3,0.3,73.2269960524,0.5958930388,0.0047169956
geometric,125,0.4,0.3,73.2785133956,0.6003286602,0.0047386165
geometric,125,0.5,0.3,73.4091401752,0.5954261201,0.0047102016
geometric,125,0.6,0.3,73.5266795995,0.5990918774,0.0047392001
geometric,125,0.7,0.3,73.6735269554,0.6038806111,0.004767396
geometric,125,0.8,0.3,73.7388543361,0.6119401828,0.0048405355
geometric,125,0.9,0.3,73.7958889164,0.6471009734,0.0050948095
geometric,2,0,0.18,55.0589780138,0.8921338691,0.0086109136
geometric,5,0,0.18,55.0589780138,0.8921338691,0.0086109136
geometric,100,0,0.18,55.0589780138,0.8921338691,0.0086109136
geometric,125,0,0.18,55.0589780138,0.8921338691,0.0086109136
geometric,2,0,0.3,73.0591320377,0.5926765163,0.0046850801
geometric,5,0,0.3,73.0591320377,0.5926765163,0.0046850801
geometric,100,0,0.3,73.0591320377,0.5926765163,0.0046850801
geometric,125,0,0.3,73.0591320377,0.5926765163,0.0046850801
