Graph,Num_modules,Qvalue,Tvalue,Epidemic_size(%),SD,SE
geometric,125,0.7,0.17,53.2043189273,1.0419721753,0.0102341203
geometric,125,0.8,0.17,52.861765625,1.1484660574,0.0113492767
geometric,125,0.9,0.17,47.5695019074,2.844054469,0.029691687
geometric,10,0,0.18,55.0589780138,0.8921338691,0.0086109136
geometric,125,0.1,0.18,55.3570006488,0.9060523747,0.0087229364
geometric,125,0.2,0.18,55.099344958,0.8989885527,0.0086349446
geometric,125,0.3,0.18,55.1438186025,0.8972407311,0.0086317051
geometric,125,0.4,0.18,55.2735782187,0.8922569327,0.008571868
geometric,125,0.5,0.18,55.4282579412,0.9001283373,0.0085874629
geometric,125,0.6,0.18,55.5737417703,0.9188503483,0.0087864923
geometric,125,0.7,0.18,55.6777496067,0.9473456497,0.009112885
geometric,125,0.8,0.18,55.4931591536,1.0427995419,0.0100019818
geometric,125,0.9,0.18,51.7867603388,2.2696914966,0.0226572993
geometric,10,0,0.19,57.240990421,0.8449537006,0.0079210155
geometric,125,0.1,0.19,57.5710700052,0.8579258679,0.0079856308
geometric,125,0.2,0.19,57.3048329273,0.8581759476,0.0080053169
geometric,125,0.3,0.19,57.3568577439,0.8517725276,0.0079744335
geometric,125,0.4,0.19,57.4561936838,0.8529449048,0.0079777214
geometric,125,0.5,0.19,57.6290863831,0.8623327487,0.0080591846
geometric,125,0.6,0.19,57.7946995708,0.8684826687,0.0080463365
geometric,125,0.7,0.19,57.9196757132,0.898889716,0.008370189
geometric,125,0.8,0.19,57.833115491,0.9524743346,0.0088557254
geometric,125,0.9,0.19,55.2943371315,1.8341525979,0.0174420358
geometric,10,0,0.2,59.2661024703,0.8103977028,0.0073908056
geometric,125,0.1,0.2,59.6301592304,0.8178669881,0.0074480921
geometric,125,0.2,0.2,59.3415230244,0.8237269829,0.0075167459
geometric,125,0.3,0.2,59.3826309217,0.8147584263,0.0074342862
geometric,125,0.4,0.2,59.4863202598,0.8282085148,0.0075576412
geometric,125,0.5,0.2,59.6613761846,0.8205163547,0.0074484748
geometric,125,0.6,0.2,59.8263257896,0.8364593831,0.0076865654
geometric,125,0.7,0.2,59.973095376,0.8528789067,0.0077569713
geometric,125,0.8,0.2,59.9745817728,0.8931100432,0.0081478511
geometric,125,0.9,0.2,58.2530806011,1.5437393186,0.0142645618
