Graph,num_modules,Qvalue,Tvalue,module#,Invasiontime(thresh=20),SD,SE
geometric,10,0.6,0.1,6,41.387297357317344,12.69165359330494,0.18913296739148433
geometric,10,0.6,0.1,7,42.914501443482123,12.925967328182811,0.19262474658733403
geometric,10,0.6,0.1,8,44.643126804352654,13.209374130012403,0.19684811819253109
geometric,10,0.6,0.1,9,47.00111037086387,13.593222717684487,0.2025682886873946
geometric,10,0.7,0.1,0,19.483153638814017,8.3006962400113107,0.12440474447042425
geometric,10,0.7,0.1,1,29.644204851752022,10.689466526833591,0.16020588072911754
geometric,10,0.7,0.1,2,34.691823899371066,11.682409950173872,0.17508738816927746
geometric,10,0.7,0.1,3,37.981581311769993,12.444002962016667,0.18650158539915157
geometric,10,0.7,0.1,4,40.60377358490566,12.926871660122934,0.19373846713337523
geometric,10,0.7,0.1,5,42.780098831985626,13.396870039474258,0.20078245797391167
geometric,10,0.7,0.1,6,44.790431266846362,13.717250244179672,0.20558408139769627
geometric,10,0.7,0.1,7,46.823450134770887,13.991937350771899,0.20970089019503635
geometric,10,0.7,0.1,8,49.087151841868824,14.344451681550243,0.21498411632144893
geometric,10,0.7,0.1,9,52.239667565139264,14.887322183463665,0.22312026106380589
geometric,10,0.8,0.1,0,16.689458037960211,6.728002310951541,0.10174109167955023
geometric,10,0.8,0.1,1,31.804939400868967,11.847365792434404,0.17915628942148229
geometric,10,0.8,0.1,2,39.326320603704552,13.418021375054913,0.20290779934119127
geometric,10,0.8,0.1,3,44.626800823233481,14.59077376036063,0.22064220287380915
geometric,10,0.8,0.1,4,48.666590441344617,15.470514350980642,0.23394567156299179
geometric,10,0.8,0.1,5,52.199862794420305,16.41688571956945,0.24825673326072145
geometric,10,0.8,0.1,6,55.564600960439058,17.151088727909979,0.25935937742322185
geometric,10,0.8,0.1,7,59.021952892750974,17.763764048670406,0.26862427554577745
geometric,10,0.8,0.1,8,63.033615367024929,18.772179098456199,0.28387356401054081
geometric,10,0.8,0.1,9,68.814043915827995,20.387283104303346,0.30833248070631736
