Graph,num_modules,Qvalue,Tvalue,Duration,SD,SE
geometric,125,0.4,0.18,83.6353484079,9.254411944,0.0889066752
geometric,125,0.5,0.18,84.6779830709,9.2137561042,0.0879016748
geometric,125,0.6,0.18,86.4022494514,9.2635036798,0.0885821114
geometric,125,0.7,0.18,90.7335985935,9.9909833985,0.0961071418
geometric,125,0.8,0.18,100.1023919043,11.4640554123,0.1099571575
geometric,125,0.9,0.18,146.8054808171,23.3620329555,0.2332125641
poisson,10,0,0.3,78.339764552,7.4196366965,0.0547757427
poisson,2,0.1,0.3,77.9641864268,7.4284429418,0.0548452391
poisson,2,0.2,0.3,77.8206450197,7.2553240699,0.0537328232
poisson,2,0.3,0.3,77.9250450057,7.4258431263,0.0548469765
poisson,2,0.4,0.3,78.0483176092,7.3569511963,0.0543292529
poisson,5,0.1,0.3,77.967355643,7.4024847131,0.0547386916
poisson,5,0.2,0.3,77.9784156897,7.4095084876,0.0548416328
poisson,5,0.3,0.3,77.8800849534,7.4276775719,0.0548127039
poisson,5,0.4,0.3,77.9264328952,7.4250201515,0.0548319251
poisson,5,0.5,0.3,78.004907574,7.4331803888,0.0548891932
poisson,5,0.6,0.3,78.1560205982,7.4004686471,0.0547747243
poisson,5,0.7,0.3,78.9858125305,7.3877084355,0.0543640211
poisson,10,0.1,0.3,77.8670529711,7.3906343892,0.0546435934
poisson,10,0.2,0.3,77.9240354137,7.3674330167,0.0544646083
poisson,10,0.3,0.3,77.9705397384,7.3958423136,0.0548306694
poisson,10,0.4,0.3,77.9365302481,7.4708475846,0.0549312179
poisson,10,0.5,0.3,78.074865429,7.3236375713,0.0542774674
poisson,10,0.6,0.3,78.1166313732,7.2864634115,0.0536917234
poisson,10,0.7,0.3,78.5517241379,7.3304839243,0.0542329679
poisson,10,0.8,0.3,80.2073805999,7.451665408,0.0551793585
poisson,100,0.1,0.3,78.0881352212,7.325553097,0.0542678229
poisson,100,0.2,0.3,78.0090295909,7.3328579827,0.0540820653
poisson,100,0.3,0.3,77.9278950805,7.3586353048,0.0542839934
poisson,100,0.4,0.3,78.2350247997,7.4120800945,0.054721447
poisson,100,0.5,0.3,78.4792006969,7.4205125911,0.0547553572
poisson,100,0.6,0.3,79.1109899695,7.4097492694,0.0547087122
poisson,100,0.7,0.3,80.5637350706,7.4718515389,0.0550533082
poisson,100,0.8,0.3,83.4287427761,7.614800762,0.0562257426
poisson,100,0.9,0.3,93.3938915505,8.6052840942,0.0634942324
poisson,125,0.1,0.3,78.1042858685,7.3451281743,0.0539645486
poisson,125,0.2,0.3,78.0150594162,7.3797493775,0.0546109001
poisson,125,0.3,0.3,78.125922309,7.4723257302,0.055038877
poisson,125,0.4,0.3,78.2394068943,7.4141107747,0.0545405908
poisson,125,0.5,0.3,78.5807833874,7.4084867469,0.054910832
poisson,125,0.6,0.3,79.4242424242,7.5018553659,0.0553827251
poisson,125,0.7,0.3,80.9296356716,7.4779754501,0.0551433531
poisson,125,0.8,0.3,84.4305805397,7.7886214688,0.0575044878
poisson,125,0.9,0.3,96.530260784,9.0293745497,0.0667634766
geometric,10,0,0.3,62.7372367681,6.5651103313,0.0518968892
geometric,2,0.1,0.3,62.7626968566,6.7423917755,0.0536209266
geometric,2,0.2,0.3,62.5830379747,6.6419888653,0.0528408262
geometric,2,0.3,0.3,62.6645706301,6.6281611452,0.052824515
geometric,2,0.4,0.3,62.7944341846,6.6564441685,0.053119133
geometric,5,0.1,0.3,62.6377987984,6.6217754703,0.0529386409
geometric,5,0.2,0.3,62.7043252486,6.6393019381,0.0528345001
geometric,5,0.3,0.3,62.7004027875,6.6057231826,0.0528187492
geometric,5,0.4,0.3,62.7230553251,6.6535939197,0.0531505712
geometric,5,0.5,0.3,62.7815802718,6.7674342256,0.0536759966
geometric,5,0.6,0.3,62.9400537979,6.6795193414,0.0534549742
geometric,5,0.7,0.3,63.5435790008,6.7198774684,0.0535401665
geometric,10,0.1,0.3,62.5517938353,6.6289037859,0.0526834036
geometric,10,0.2,0.3,62.6110686049,6.6541781706,0.0531332044
geometric,10,0.3,0.3,62.6954643629,6.6730364402,0.0531855362
geometric,10,0.4,0.3,62.6284622732,6.6409296776,0.0529919512
geometric,10,0.5,0.3,62.6347142041,6.7135813361,0.0534730329
geometric,10,0.6,0.3,62.8035274038,6.6603328049,0.0529549324
geometric,10,0.7,0.3,63.0141709369,6.7193692076,0.0534445935
geometric,10,0.8,0.3,64.180087292,6.6565068087,0.0529412487
geometric,100,0.1,0.3,63.1739563243,6.665798987,0.0525779611
geometric,100,0.2,0.3,63.1494092237,6.6097383597,0.0526810369
geometric,100,0.3,0.3,63.2141140761,6.7115919616,0.0533709186
geometric,100,0.4,0.3,63.1610712699,6.6843215754,0.0532501172
geometric,100,0.5,0.3,63.3214754611,6.5353391576,0.0516744673
geometric,100,0.6,0.3,63.9090226035,6.7539324765,0.0534429791
geometric,100,0.7,0.3,64.7726075505,6.7274504775,0.0532751437
geometric,100,0.8,0.3,66.6579095868,6.5688955719,0.0520146438
geometric,100,0.9,0.3,74.2217604367,7.1013828765,0.0559302731
geometric,125,0.1,0.3,63.1802390736,6.7136552615,0.0529735681
geometric,125,0.2,0.3,63.2933266621,6.7810771224,0.0536275594
geometric,125,0.3,0.3,63.3139294442,6.7388849638,0.0533439542
geometric,125,0.4,0.3,63.3811838006,6.6862015233,0.0527766651
geometric,125,0.5,0.3,63.5702753442,6.6069808001,0.0522654456
geometric,125,0.6,0.3,64.0400500626,6.6714341066,0.0527753125
geometric,125,0.7,0.3,65.098597694,6.6451153505,0.0524605287
geometric,125,0.8,0.3,67.3952571643,6.7680160925,0.0535359877
geometric,125,0.9,0.3,76.1671832383,7.4080783454,0.0583259015
geometric,2,0,0.1,144.4426078972,23.9984630475,0.3636130765
geometric,5,0,0.1,144.4426078972,23.9984630475,0.3636130765
geometric,100,0,0.1,144.4426078972,23.9984630475,0.3636130765
geometric,125,0,0.1,144.4426078972,23.9984630475,0.3636130765
geometric,2,0,0.18,82.0040991243,9.0134044002,0.0869977581
geometric,5,0,0.18,82.0040991243,9.0134044002,0.0869977581
geometric,100,0,0.18,82.0040991243,9.0134044002,0.0869977581
geometric,125,0,0.18,82.0040991243,9.0134044002,0.0869977581
geometric,2,0,0.3,62.7372367681,6.5651103313,0.0518968892
geometric,5,0,0.3,62.7372367681,6.5651103313,0.0518968892
geometric,100,0,0.3,62.7372367681,6.5651103313,0.0518968892
geometric,125,0,0.3,62.7372367681,6.5651103313,0.0518968892
