Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
66,1.8,46.4820354527,20.3460983788,0.2018724416,33.7170702894,13.3726146363,0.132682066
4,2,57.1605428494,18.119587959,0.1786677505,52.0006806028,15.970229338,0.1574740528
5,2,56.403819377,19.2515236425,0.1876702022,48.9062054547,15.9760357716,0.155739666
6,2,55.8329272685,24.402687653,0.2101338819,27.113895892,11.9545863686,0.1029420888
7,2,55.465055176,22.2516602175,0.2066816722,37.0622897075,13.94433214,0.1295201282
10,2,48.0846940721,25.4541793999,0.2028946208,17.9709003113,9.8795486454,0.0787496326
12,2,27.7831819803,14.0141079406,0.1521117535,36.3238689915,12.7378996014,0.1382595491
13,2,26.2206396257,10.144366214,0.1346491839,39.6094080338,12.0715731521,0.1602295737
15,2,47.0403786196,20.5915866938,0.1829803111,31.1405559065,11.5982434985,0.1030639472
17,2,38.4037676731,12.3979241723,0.148822721,45.378962536,14.1058642971,0.1693245641
18,2,67.93439474,26.5268052395,0.1790391065,18.8243440233,7.0977230627,0.0479051278
26,2,53.0815544609,23.6024824391,0.2087081409,26.3799358824,11.6825597707,0.1033046137
29,2,49.5138832453,22.1768724166,0.1999214942,32.6102397399,13.0936759018,0.1180377107
33,2,60.0899553755,26.423028282,0.2126330729,21.8008030048,10.3973300837,0.0836700556
35,2,61.7521078966,28.4480143303,0.2050230796,17.1715576793,9.0494418793,0.0652187679
41,2,61.7090248963,30.1570332864,0.2199544702,18.2238536014,9.9537285259,0.0725988881
43,2,62.7097170217,28.4008745857,0.2225142569,23.7236510957,11.4463621088,0.0896795889
54,2,93.3329640878,15.791699397,0.099877474,16.7311892476,5.9994719281,0.037944751
57,2,39.1552114348,15.5149210956,0.17361407,40.3511144503,13.8065481107,0.1544971447
62,2,53.1535709174,24.0511781345,0.2034585689,21.8081436954,10.3772777827,0.0877855577
63,2,53.81318319,24.0592711792,0.1953715221,21.5577975602,9.9354480666,0.080680067
66,2,52.8897443254,20.9256784841,0.1944493597,34.3952163026,12.5962115314,0.1170487862
33,2.4,70.017957092,25.4099636411,0.1931102549,22.6944091487,9.7337553272,0.0739744456
66,2.4,65.421645269,19.4553477865,0.1657711535,35.43553071,11.360974764,0.0968022732
35,2.4,71.5017574269,27.4617984105,0.1905553654,17.8848764986,8.4726855193,0.0587913312
4,2.4,71.2261193617,14.6349273029,0.1292497225,51.3184618984,13.424778867,0.118562184
5,2.4,70.3573281607,16.3297094065,0.1442173484,48.6512752515,13.1451902299,0.1160929709
6,2.4,66.3883823912,24.2090152331,0.195361091,27.9756446991,11.0953705392,0.0895370453
7,2.4,68.3668273066,20.6634880836,0.1754864939,38.1992787595,12.3585466055,0.1049560464
41,2.4,70.78794256,29.5478763825,0.2079238675,18.8225303293,9.4016269438,0.0661578047
10,2.4,55.7898576097,26.1155009639,0.1995003374,18.5903944911,9.3552787559,0.0714664165
43,2.4,73.1728189779,27.4195289959,0.2041350837,24.5044340982,10.5554583086,0.078584113
12,2.4,38.1316098707,17.9962891002,0.1676486962,37.5129740519,12.2726015991,0.1143283288
13,2.4,34.1676355234,13.1416948379,0.1421409198,40.5572063641,11.7059443307,0.1266118043
15,2.4,59.6435963119,21.1918960689,0.1718211641,31.9498422298,10.406662675,0.0843758807
17,2.4,47.5653894856,12.0975719208,0.1292841654,46.2529693924,12.6922793588,0.1356396767
57,2.4,48.4472934473,16.2680634355,0.162599355,41.3023976024,13.0752820713,0.1306874933
26,2.4,63.0008984726,23.4199739617,0.1936394909,27.3179518731,10.9202186895,0.0902898351
29,2.4,61.3800410116,22.3144284881,0.1844860809,33.8302118934,11.8703875349,0.09813925
62,2.4,62.3089926915,23.7037076517,0.1889656686,22.6164601208,9.6398914881,0.0768490975
63,2.4,64.1939618792,23.8296191506,0.1825341297,22.3018247961,9.1587581058,0.0701557977
33,4.8,94.441996232,12.1466084016,0.0810025941,21.377301432,6.4329095792,0.0428994124
66,4.8,93.530972913,5.4433385148,0.0373761883,29.1530410184,6.3290013306,0.0434575114
35,4.8,95.842380378,12.772223494,0.0809894812,17.076477684,5.881781825,0.0372967525
4,4.8,95.436466281,2.7485826927,0.0194895734,37.6661471165,6.937606538,0.0491929868
5,4.8,95.4788188141,3.0102618392,0.021312957,36.5680485237,6.8717725453,0.0486528416
6,4.8,93.1457546632,11.9246916325,0.0817085588,25.8160946523,6.9010112435,0.0472860599
