Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
38,1.05,30.6921149026,21.3214214826,1.2904311317,15.3406593407,10.434396255,0.63151839
39,1.05,28.524779101,19.6845473844,1.1891869972,14.3795620438,9.8014086481,0.592124751
40,1.05,33.5611756664,18.0097798897,1.2457625241,18.0956937799,10.0110193173,0.692476686
41,1.05,33.8541666667,20.8347485932,1.2541044916,14.7391304348,9.171714827,0.5520723569
42,1.05,34.475088968,22.083487706,1.3173904288,14.5053380783,9.9947035783,0.5962340282
43,1.05,29.5102040816,18.0657782798,1.2904127343,18.1428571429,9.7583036331,0.6970216881
44,1.05,30.2800269906,20.2135344028,1.1443660392,15.0224358974,9.1935810503,0.5204840342
45,1.05,30.6686046512,16.9061380186,1.2890809388,18.5290697674,9.7351122625,0.742295351
46,1.05,29.1803278689,17.7217487296,1.3100293619,17.9945355191,10.5351336573,0.7787794892
49,1.05,55.96,30.9851319184,1.3856972252,12.59,8.3502035903,0.3734324571
50,1.05,40.7031618688,24.165439812,1.3383999252,14.0920245399,9.3446679892,0.5175532924
51,1.05,42.675,29.2900473711,1.3098907397,10.078,8.2512978373,0.3690092573
52,1.05,40.75,27.6597631949,1.2369822149,9.67,7.0652034649,0.3159655044
53,1.05,36.5607923497,22.0190295785,1.1509531137,14.5382513661,8.3641448664,0.4372008559
54,1.05,44.6553446553,24.70883115,1.2592786399,14.4701298701,9.0398693379,0.4607144019
55,1.05,27.7032359905,16.4999305278,1.2264301775,19.2928176796,10.2874382078,0.76465926
56,1.05,26.303364155,14.1105479282,0.8160340565,12.9531772575,7.9952629122,0.4623779927
57,1.05,18.2023486902,6.8366666741,1.0677079533,34.6097560976,10.5480966929,1.6473359413
58,1.05,23.3333333333,13.9580223846,1.2741872864,21.375,12.206598284,1.1143048718
59,1.05,25.652173913,12.5485823388,1.2548582339,25.73,10.1526892989,1.0152689299
60,1.05,24.4016649324,12.6121030394,1.3078141621,30.064516129,11.4954936955,1.1920271669
61,1.05,36.7639257294,20.5958106564,1.0607382152,13.4668435013,8.1601729879,0.4202702907
62,1.05,29.1320754717,15.1612354119,1.2023641785,18.5786163522,9.9933208184,0.7925218922
63,1.05,28.5056089744,14.9953117459,1.0821934091,18.7916666667,9.7829748657,0.7060253965
65,1.05,45.2121212121,23.4361371658,1.3530860101,14.4966666667,8.623030532,0.4978508999
66,1.05,22.0430107527,10.4421664193,1.1823425223,27.4871794872,11.1156433886,1.2585987729
67,1.05,35.3736654804,20.5487383297,1.2258349569,14.5088967972,9.2721270901,0.5531287288
68,1.05,28.9347826087,15.7892398334,1.1639982036,17.1739130435,8.9322433713,0.6584937178
69,1.05,29.2566619916,14.6367665708,1.1756533822,17.8322580645,9.2873964926,0.7459816378
2,1.1,41.7820069204,25.8508715801,1.2798088489,14.9387254902,8.0822166407,0.4001293474
3,1.1,24.9823819591,10.4637979737,1.1283403537,38.6046511628,13.6076919679,1.4673551618
4,1.1,19.1976611986,8.9174937273,1.3007501467,37.8936170213,13.5509033106,1.9766023962
5,1.1,21.0964083176,10.7499680501,1.2941440744,36.7971014493,14.3815297307,1.7313327253
6,1.1,28.9618456078,16.7463669379,1.319798605,21.8385093168,11.6985430006,0.9219743477
7,1.1,25.0609543713,12.5360158927,1.3440019776,31.3793103448,13.091404023,1.4035458352
8,1.1,21.3680387409,10.5199820391,1.4057917323,36.6785714286,13.3377915591,1.7823373682
9,1.1,25.7094090036,14.2554443602,1.3654239316,24.1743119266,12.5558159605,1.2026290559
10,1.1,27.735042735,18.753868279,1.2259787219,14.8803418803,9.2210854555,0.6028012138
11,1.1,14.0740740741,3.6624688707,0.6190702298,30.3714285714,9.9429392443,1.6806634814
12,1.1,13.2063882064,2.3203718388,0.4947049382,32.6363636364,8.0822220985,1.7231355411
13,1.1,13.058419244,2.9016950973,0.7492144525,32.4,7.6052613367,1.9636700334
