Graph,num_modules,Qvalue,Tvalue,Duration,SD,SE
geometric,125,0.1,0.1,150.0447831184,25.6144304948,0.3922158919
geometric,125,0.2,0.1,149.6477485929,25.8349090007,0.3956383101
geometric,125,0.3,0.1,152.0378416258,26.5399958196,0.4056282896
geometric,125,0.4,0.1,156.9978530534,27.45671898,0.4240704409
geometric,125,0.5,0.1,166.5940128649,30.3466561358,0.47732336
geometric,125,0.6,0.1,180.4940166493,35.9405251516,0.5796858895
geometric,125,0.7,0.1,203.6228786926,45.2944811582,0.8029623859
geometric,125,0.8,0.1,222.4631927213,51.0288733532,1.4675835305
geometric,125,0.9,0.1,0,0,0
geometric,10,0,0.18,82.0040991243,9.0134044002,0.0869977581
geometric,125,0.1,0.18,83.1272592455,9.3249405357,0.0897750125
geometric,125,0.2,0.18,82.9296060522,9.3285574687,0.0896024497
geometric,125,0.3,0.18,82.9577973161,9.2715462159,0.0891948505
geometric,125,0.4,0.18,83.6353484079,9.254411944,0.0889066752
geometric,125,0.5,0.18,84.6779830709,9.2137561042,0.0879016748
geometric,125,0.6,0.18,86.4022494514,9.2635036798,0.0885821114
geometric,125,0.7,0.18,90.7335985935,9.9909833985,0.0961071418
geometric,125,0.8,0.18,100.1023919043,11.4640554123,0.1099571575
geometric,125,0.9,0.18,146.8054808171,23.3620329555,0.2332125641
