Network,Qrel,Assortativity,Clustering,Betweenness,Path_length,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
18,0.5407926763,-0.1343596506,0.1535277778,0.078715415,2.7317391304,55.3439233485,28.3369634672,0.2204360276,20.0844175492,8.9479491223,0.0696069768
20,0.1215686275,-0.6235294118,0.5875,0.0833333333,1.5,41.275,29.1763924261,0.1845277079,9.86576,7.7570187329,0.0490596941
21,0.2,-0.2380952381,0.4761904762,0.1333333333,1.6666666667,51.3125714286,30.3429313478,0.1919055479,10.3542,7.4585000074,0.0471716959
22,0.3966740455,-0.2846428571,0.2975,0.1414285714,1.8485714286,51.9205,30.7206026918,0.1942941512,11.09568,7.7362035481,0.0489280473
23,0.4789737131,-0.2104900647,0.1774814815,0.1782539683,2.2477777778,59.9573333333,30.911616847,0.1955022308,12.31352,7.470824935,0.0472496456
24,0.0947691198,-0.4642878338,0.7464761905,0.0515873016,1.3611111111,38.9004444444,29.0926126943,0.1839978384,10.19536,8.2814971153,0.0523767866
26,0.1453254499,-0.1953081055,0.5970681603,0.0183519226,1.6056134454,31.2777597812,17.4516833342,0.1958762481,22.8327034518,11.3614975633,0.1275205075
27,0.1692878765,-0.1769312021,0.5588404132,0.0288688123,1.6062450593,36.2664910992,20.0041141622,0.1970872599,19.3389633081,10.2927557637,0.1014076911
28,0.1992365492,-0.1683244523,0.5589038573,0.0325847953,1.5865263158,32.2737306843,22.2339213128,0.1846681397,15.7299254967,10.2185474815,0.0848721252
29,0.2759245964,-0.0633070342,0.216311228,0.0167352425,1.9706440678,26.910242546,15.0221376018,0.186714881,28.2076317009,12.7958150057,0.1590432161
30,0.1272727273,-0.4666666667,0.5,0.1333333333,1.5333333333,58.2273333333,30.7861781324,0.1947088867,10.2514,7.0733385357,0.0447357209
31,0.2550915887,-0.2074836188,0.4828137566,0.0462710623,1.6015238095,40.4626007396,24.354711446,0.1950375123,15.1987430257,9.5228870495,0.0762612279
33,0.1548264784,-0.195926989,0.6410818647,0.0250519481,1.501038961,36.8880465085,20.4715197966,0.1979426538,18.8535901272,10.1214701879,0.09786624
34,0.2656727429,-0.2630821918,0.479968254,0.0705151515,1.7051515152,46.1575377528,24.664420261,0.1972964225,14.5316099309,8.6201418611,0.0689545156
35,0.2545278846,-0.2267074997,0.4683259259,0.0553553114,1.7196190476,39.6138944556,23.4683428744,0.1918101233,15.0424181697,9.2269031885,0.0754127996
36,0.2277726481,-0.2572677596,0.4805833333,0.0728571429,1.4371428571,51.933,32.5766559211,0.2060328625,11.17552,8.2977245513,0.052479418
37,0.3226269299,-0.2162947263,0.3482868535,0.0519160647,1.8825730994,33.3023791197,22.2169134891,0.1819714122,15.4317724406,9.7664568067,0.0799938271
38,0.1233874568,-0.1762653768,0.7127794778,0.0196078431,1.3333333333,34.1280284043,23.4464802848,0.1906785152,15.8205687831,10.5481329472,0.0857826976
39,0.1301495599,-0.1194546992,0.6804659668,0.0220433437,1.3747368421,34.3924148607,23.5659450336,0.1926722032,15.8249331551,10.5526452697,0.0862771008
40,0.3462387987,-0.1944416768,0.3357948189,0.0536441103,2.0192380952,37.3822685638,19.5429314227,0.1891674691,18.3212779912,9.4827104168,0.0917887031
41,0.1450857593,-0.1888276836,0.7044343781,0.0283452381,1.3968333333,38.5506896322,24.3377679883,0.1986640735,15.4873400853,9.7888270511,0.0799041333
42,0.0993355434,-0.1560978091,0.7686945208,0.018452381,1.2583333333,38.9030118148,24.9195958141,0.2002300723,15.4273355284,9.9775604199,0.0801701464
43,0.1371962122,-0.0880379853,0.6071220384,0.0172463768,1.3966666667,35.931836057,21.7136248106,0.2029842683,19.8599143581,11.167081101,0.1043926017
44,0.3357674916,-0.1311160714,0.3141938179,0.0482215342,1.8197660819,35.1921640133,23.5128708446,0.1859378679,15.6164717654,10.0431151753,0.0794201369
45,0.1929188406,-0.2917467655,0.631386914,0.0318214756,1.7000724638,33.4207862774,18.407535588,0.1900007756,18.955465587,10.1501584971,0.1047689398
