Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
34,1.05,41.3016698604,22.5639618272,0.1866639813,14.0585819874,8.5569214273,0.0707885004
35,1.05,34.9619007052,21.251369991,0.1790577366,14.3638364333,9.0737756572,0.0764529408
36,1.05,45.507,30.7249971684,0.1943219443,10.45964,8.1472038805,0.0515274416
37,1.05,29.1364444529,19.6251412004,0.1672725518,14.8406102434,9.5394578844,0.0813084322
38,1.05,29.7834850528,20.8721190196,0.1763449288,14.9184809765,9.921624858,0.0838260949
39,1.05,29.9205575334,20.7629031124,0.1759441705,15.0659198621,10.0040473124,0.0847739739
40,1.05,33.0197056725,17.2547652204,0.1791452412,17.7870001078,9.2674972659,0.0962185235
41,1.05,34.1235785359,21.8701278507,0.1843759509,14.8594171997,9.566577121,0.0806509576
42,1.05,34.448928472,22.4052074591,0.186891851,14.920748678,9.724698961,0.0811180612
43,1.05,31.2964980545,18.7699576636,0.1851257094,19.0039883268,10.55829121,0.1041350857
44,1.05,30.3821052632,20.7013383217,0.1690257196,14.9498666667,9.7219075622,0.0793790428
45,1.05,29.5639734724,16.4487100661,0.1811712145,18.2677423268,9.6875617513,0.1067018217
46,1.05,30.0362903226,17.8141473078,0.1788583431,18.6060483871,10.2015398362,0.1024259248
49,1.05,54.086,30.5794147099,0.1934012,12.64664,8.2595700076,0.0522381074
50,1.05,41.1886923125,23.8971091664,0.1896177983,14.3254422968,8.8825037181,0.0704805249
51,1.05,42.394,29.2928961354,0.1852645421,10.0472,7.8781071432,0.0498255244
52,1.05,42.326,28.5036791309,0.1802730955,9.95304,7.4060269213,0.046839827
53,1.05,39.7249986708,24.3907289804,0.1778451096,14.6935509596,8.6872259384,0.0633429468
54,1.05,47.1552600521,25.6306801344,0.1823843526,14.5594207302,8.5598615599,0.0609107835
55,1.05,28.1545155471,17.653076301,0.181855233,19.1133397007,10.8114328295,0.1113752415
56,1.05,32.7467773406,20.6387837372,0.1701563818,14.631389342,9.0848517486,0.0749000291
57,1.05,19.9348101996,9.249070981,0.1951176588,35.2452158433,13.0012132889,0.2742725516
58,1.05,24.6126965638,14.4498826248,0.1743609297,22.2724228305,11.144033043,0.1344705707
59,1.05,24.2466945745,12.8110798243,0.1768939546,24.3290753098,11.2960171323,0.1559741387
60,1.05,24.6686729127,12.3500996968,0.1872086968,29.4659926471,12.4508497572,0.1887359143
61,1.05,37.2991743737,21.420456669,0.1561666002,13.82061231,8.0085580837,0.0583866772
62,1.05,28.9053874895,16.1155835129,0.1769234869,18.4498011329,9.8712901787,0.1083710731
63,1.05,27.90153427,15.6522738236,0.166768542,18.148711545,9.5961900945,0.1022434599
65,1.05,44.3800499175,24.1515373022,0.1969144343,13.9672272818,8.5280850877,0.069531932
66,1.05,23.4460484844,11.2420159362,0.1746151531,28.5517490953,11.9087924034,0.184971772
67,1.05,34.6820835306,20.7654862254,0.1707547133,14.1488944486,8.7913820932,0.0722915858
68,1.05,29.4360115736,16.4791301378,0.1738405456,18.4044068551,9.7324570128,0.1026689894
69,1.05,30.3805065418,15.6839579213,0.1718332092,18.2849597887,9.6317847055,0.1055256897
2,1.1,55.4302027525,31.6948669278,0.2167224217,16.1066018328,8.3781236699,0.0572877386
3,1.1,22.422879265,11.2877943464,0.1854449376,35.579217274,14.2362086088,0.2338838516
4,1.1,21.9051516135,9.8195451295,0.1888024979,41.6306839187,14.9200959053,0.2868718803
5,1.1,22.3068608642,10.6554397897,0.1878357959,38.7936606588,14.8129731523,0.2611254587
6,1.1,28.6858898173,16.2671012354,0.1840353525,22.3079482913,11.1940808512,0.1266425152
7,1.1,24.8079777365,13.0360240018,0.1862289143,29.8689795918,12.8270273084,0.1832432473
8,1.1,21.5670830772,10.2557333961,0.1845559608,38.4909326425,14.4816274763,0.2606025888
9,1.1,27.4329964174,14.0617350792,0.1867937347,25.1429327687,11.6211764658,0.1543737626
