Network,T_value,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
58,0.11,48.7927756654,24.0027688734,1.4800741344,27.6045627376,13.2422406471,0.816551539
59,0.11,50.3251579339,20.5901123853,1.3460177544,29.264957265,10.8748853319,0.7109134938
60,0.11,92.9213761241,6.5421980299,0.3308531754,32.6930946292,7.7120776432,0.3900165305
61,0.11,15.5357142857,4.0225942093,0.3800994251,11.4821428571,6.2919763856,0.5945358847
62,0.11,28.8911917098,15.1686059462,1.0918601477,17.9740932642,9.4383383281,0.6793864589
63,0.11,17.2268907563,8.7769381112,0.8045805975,15.2773109244,8.0491393869,0.7378633978
64,0.11,88.0775316456,19.5993725661,0.986151457,27.9670886076,9.4567064344,0.4758185395
65,0.11,34.0151515152,16.9668219967,1.0952036505,12.7583333333,7.5227386783,0.4855906936
66,0.11,31.4804147465,15.2922057389,1.4449776208,31.2857142857,12.5045909936,1.1815727863
67,0.11,19.5761078998,10.0646666726,0.7652024373,12.1965317919,7.6086799836,0.5784772271
68,0.11,26.4337349398,15.50296728,1.2032636204,18.0602409639,9.6939297832,0.7523948697
69,0.11,32.2061191626,17.7488821422,1.291041205,17.7566137566,9.4024662511,0.6839287828
1,0.12,16.5,4.3676687846,0.4367668785,12,5.6391488719,0.5639148872
2,0.12,14.2634044768,4.2001338374,0.3951153551,12.6991150442,7.3338649045,0.6899119762
3,0.12,97.8229786449,1.7290837522,0.0826188175,33.2579908676,6.5060293483,0.3108701071
4,0.12,99.0586382775,0.8881563877,0.0420554238,31.9147982063,6.0781093524,0.2878068193
5,0.12,98.5043478261,0.992913348,0.0468063841,32.3688888889,6.3625229874,0.29993221
6,0.12,56.908315565,24.1506302256,1.4752345378,26.1791044776,11.8802173119,0.7256997739
7,0.12,91.8648018648,8.5161589191,0.4312324697,33.8871794872,7.2198153072,0.3655895592
8,0.12,97.9806077264,1.1452829927,0.0543527255,32.6328828829,6.2329334391,0.2958019305
9,0.12,77.0805008945,11.5194968331,0.6389867154,29.4338461538,7.6801097132,0.4260158365
