Network,T_value,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
33,0.05,21.1956521739,9.7645009479,1.0180195969,17.0760869565,8.5034950559,0.8865506445
34,0.05,20.8333333333,8.1578750864,0.8326096395,13.25,7.1807033082,0.7328774625
35,0.05,17.3563218391,6.8860072647,0.6393497239,12.6896551724,7.2888835921,0.6767558518
36,0.05,15.15,6.2130910182,0.2778578773,6.334,4.8040029142,0.2148415416
37,0.05,13.6008337676,5.091915998,0.5066645787,11.9603960396,6.4037748646,0.6371994148
38,0.05,17.2096908939,10.7688441399,0.7833181495,12.3703703704,7.597714107,0.552652381
39,0.05,17.5160122529,9.9070218834,0.7206298046,12.1693121693,7.1063657321,0.5169120458
40,0.05,17.9138321995,6.4735158384,0.9988851799,17.2142857143,7.1265289564,1.0996472916
41,0.05,19.3014705882,9.3649022897,0.718255218,12.4941176471,7.8382524004,0.6011665165
42,0.05,19.0853658537,9.6074808499,0.6710155692,12.1414634146,7.0229232886,0.490502239
43,0.05,21.4967741935,11.0939531298,0.8910877588,18.0451612903,9.438658964,0.7581313319
44,0.05,13.3101348412,4.3366484839,0.3942407713,11.0909090909,6.0096341386,0.5463303762
45,0.05,18.7734082397,7.7543128506,0.8219555183,15.4606741573,8.3330345442,0.8832998951
46,0.05,15.9298245614,5.5814845825,0.739285693,16.2280701754,6.368831846,0.8435723857
47,0.05,19.4,10.1603069213,0.454382739,6.826,5.3907071892,0.2410797544
48,0.05,20.7,9.7101893791,0.4342528705,6.2,5.0442045954,0.2255836874
49,0.05,11.82,4.3459866544,0.1943584318,6.448,4.994326381,0.2233530658
50,0.05,18.1741335587,5.0379254187,0.5281180825,11.2857142857,5.8858849863,0.6170083982
51,0.05,15.4,6.7797492579,0.3031996042,6.594,5.0530351275,0.2259786008
52,0.05,13.65,4.533486517,0.2027436805,6.126,4.7981375553,0.2145792348
53,0.05,13.698630137,2.8627146399,0.3350554056,10.7397260274,6.3311090964,0.7410002717
54,0.05,16.452991453,2.6602349568,0.3135116963,13.625,7.7628701379,0.9148630193
55,0.05,22.0452209661,12.8871413877,1.093073066,20.2374100719,10.8843381202,0.92319751
56,0.05,13.7867647059,4.1445310228,0.4229994262,12.4166666667,6.353586039,0.6484601597
57,0.05,22.9448961156,9.5767872006,1.0575792255,36.8780487805,13.4285736888,1.4829378855
58,0.05,21.35,11.6265859133,1.1626585913,20.88,9.6811982729,0.9681198273
59,0.05,22.1790890269,11.7010143502,1.2766853326,25.6071428571,11.9602694041,1.304972378
60,0.05,55.9772296015,22.6752927973,1.5253052561,36.3257918552,14.2721674824,0.9600498777
61,0.05,14.2483660131,2.6468570891,0.3706341267,11.0588235294,7.1958914332,1.0076263461
62,0.05,17.2705882353,6.8931137595,0.7476631618,17.0705882353,8.4516454859,0.9167096623
63,0.05,14.0688259109,4.1645831197,0.6755845921,15.0526315789,7.9965366464,1.2972095389
64,0.05,43.4027777778,24.1488999187,1.6099266612,24.8577777778,13.2305116872,0.8820341125
65,0.05,23.9234449761,9.6848805217,0.8397856454,11.7744360902,6.989375978,0.6060557591
66,0.05,15.850945495,4.9408748197,0.9174974205,26.1034482759,8.879829245,1.6489428946
67,0.05,16.0269360269,5.8349303764,0.5864325678,12.6565656566,7.2029197449,0.7239206724
68,0.05,16.1875,7.0508753889,0.8813594236,16.296875,7.9562862087,0.9945357761
69,0.05,19.5652173913,9.0382808763,0.9861572921,17.1666666667,8.9600081491,0.9776170374
1,0.06,15.306122449,3.0270197907,0.3617980655,11.8,7.492091068,0.8954761588
2,0.06,12.676056338,2.5455329736,0.3020991843,11.7746478873,6.4572204003,0.7663310734
3,0.06,80.8627678054,11.7285694135,0.6618814634,43.2165605096,10.3208517346,0.5824393589
4,0.06,92.6441788897,3.2269599251,0.165105633,40.5837696335,7.8541714284,0.4018543693
5,0.06,90.4779015451,4.1215795888,0.2163268259,41.6914600551,7.887194267,0.4139703394
6,0.06,26.4897959184,14.1497318156,1.1958706047,22.2571428571,10.729379844,0.9067981026
7,0.06,56.1670423241,22.9560663796,1.4756718369,37.2107438017,13.5363380038,0.8701487632
8,0.06,88.477639371,7.9525663469,0.43645378,40.6174698795,9.0975997554,0.4992956524
9,0.06,47.0845972363,19.8009092916,1.3762583329,29.8502415459,13.2479799732,0.9207982605
10,0.06,15,7.4971258861,0.6226024167,12.0482758621,7.4780884838,0.6210214465
11,0.06,0,0,0,0,0,0
12,0.06,0,0,0,0,0,0
13,0.06,0,0,0,0,0,0
14,0.06,12.037037037,2.3055369626,0.297643542,13.3833333333,8.8073674967,1.1370262546
15,0.06,13.7096774194,0.8064516129,0.5702474042,20,4,2.8284271247
17,0.06,33.0103918597,12.1019772381,1.0867896385,45.1129032258,13.9585848699,1.2535179257
18,0.06,13.28125,2.1943098368,0.5485774592,15.3125,7.0153291976,1.7538322994
19,0.06,19.2,10.3180444279,0.4614369747,6.66,5.4461362451,0.2435586172
20,0.06,15.375,7.3855856234,0.3302934301,6.18,4.7395780403,0.2119603737
21,0.06,17.4285714286,8.0761680143,0.3611772136,6.45,4.8751923039,0.2180252279
22,0.06,14.525,5.5305402087,0.2473332772,6.114,4.6485485907,0.2078894129
23,0.06,13.1555555556,5.3303695469,0.238381373,6.876,5.6093336503,0.250857027
24,0.06,15.2444444444,7.8694282661,0.3519315309,6.626,5.3319906226,0.2384538698
25,0.06,14.96,9.3058261321,0.4161691964,7.206,6.0781217494,0.2718218681
26,0.06,26.8351648352,14.9283843675,1.3093059225,21.7846153846,10.0529250358,0.881699852
27,0.06,22.8433402346,10.8997029799,0.9710227183,17.9682539683,9.0395396953,0.8053062018
28,0.06,14.8511904762,7.4885944076,0.5777576018,12.619047619,7.597626136,0.5861695823
29,0.06,16.4682539683,6.1096937132,0.9427462072,25.880952381,11.1167021081,1.7153443758
30,0.06,19.5333333333,7.5721712723,0.338637794,6.332,4.8026842495,0.2147825691
31,0.06,17.296037296,6.9290000013,0.5794320888,11.2587412587,6.6181708824,0.5534392521
32,0.06,26.32,12.9637031746,0.5797544308,7.172,5.6044996208,0.2506408426
33,0.06,22.9902329076,11.0616912729,1.0056082975,15.5454545455,7.7352899586,0.7032081781
34,0.06,21.7013888889,8.8779636636,0.9061033721,13.3645833333,7.3486390345,0.7500173308
35,0.06,18.407960199,8.7788039801,0.7583731573,12.6194029851,7.3897819491,0.6383799298
36,0.06,15.35,6.8467145406,0.3061943827,6.302,4.796540003,0.2145077901
37,0.06,14.048901782,5.7220242334,0.5077475451,12.3543307087,6.366159993,0.564905351
38,0.06,20.2643171806,12.8679270498,0.8540743155,13.1013215859,8.7788968037,0.5826758459
39,0.06,20.4306220096,13.3946511721,0.9030671978,13.7545454545,8.5308918468,0.575152611
40,0.06,18.4397163121,4.8737643245,0.7109115918,16.7659574468,7.6692610145,1.1186766927
41,0.06,20.7142857143,10.5614093447,0.7983675034,12.1314285714,7.1546097599,0.5408376615
42,0.06,23.307860262,13.8171616363,0.9130637415,12.5633187773,8.0257043054,0.5303534687
43,0.06,24.55,13.7512726684,1.087133559,18.36875,10.6850490611,0.8447272986
44,0.06,13.1397459165,4.505296145,0.3741444802,10.7034482759,6.2699327807,0.5206895764
45,0.06,18.4865900383,7.1947555395,0.7713587599,15.2873563218,7.1661850348,0.7682956803
46,0.06,16.6741573034,6.6565424114,0.7055920844,17.2584269663,7.6533433832,0.8112527761
47,0.06,20.6571428571,11.9785863361,0.5356986664,6.562,5.3667640157,0.2400089832
48,0.06,22.5,11.6845101642,0.5225471802,6.486,5.0720611195,0.226829469
49,0.06,11.64,4.3023714391,0.1924079,6.062,4.7216687728,0.2111594469
50,0.06,19.8174706649,6.7482473505,0.6212265226,12.2203389831,6.4336714789,0.5922674663
51,0.06,16.3,8.4371203618,0.3773194933,7.182,5.7463793818,0.2569858984
52,0.06,14.625,5.7159316826,0.2556242359,6.392,4.9645076292,0.2220195307
53,0.06,13.4920634921,2.2839016733,0.2877445641,11.3015873016,5.6220510312,0.7083118518
54,0.06,17.4358974359,4.1025641026,0.432448227,12.6777777778,6.6963137086,0.7058534415
55,0.06,25.6666666667,16.6107224338,1.3562598074,19.3466666667,10.8995331195,0.8899431526
56,0.06,14.3099547511,4.2982704054,0.4214800898,10.9519230769,5.953957649,0.5838335815
57,0.06,28.4742707309,13.1855284633,1.2403901786,36.8053097345,13.5332160409,1.2730978746
58,0.06,22.8125,11.8214251996,1.0136788481,22.4044117647,10.0560039693,0.8622952265
59,0.06,24.9905482042,12.9275691568,1.2055020398,24.1130434783,11.3564884479,1.0589980082
60,0.06,66.6165142032,21.5657920998,1.317340419,37.5447761194,12.083735011,0.738131596
61,0.06,15.117370892,3.5308160896,0.4190307774,12.4929577465,7.0946781075,0.8419833849
62,0.06,19.9569892473,9.5758589592,0.9929703176,18.2580645161,9.0398201831,0.9373856859
63,0.06,13.8067061144,3.5612367032,0.5702542585,16.6666666667,8.4073634799,1.3462555924
64,0.06,54.6650179856,26.0766679129,1.56397461,26.4100719424,13.2463177724,0.7944613453
65,0.06,25.0568181818,11.3975346671,0.9010542315,12.3125,6.7871086443,0.5365680511
66,0.06,18.8030560272,7.3845451568,1.1979314097,28.4473684211,10.4647211053,1.6976019294
67,0.06,16.9642857143,7.1207495179,0.6728475847,12.0535714286,6.6074082958,0.6243413986
68,0.06,17.7142857143,6.6843303411,0.7293202323,16.2023809524,8.5464832114,0.9324977677
69,0.06,22.9515050167,10.6918027913,1.0484175205,17.5288461538,8.3296928685,0.8167935861
1,0.07,14.8711943794,1.9593911628,0.2508743311,10.9672131148,5.2758876593,0.6755081948
2,0.07,12.8892733564,2.5235211325,0.3060218876,12.1029411765,5.7831899041,0.701314789
3,0.07,87.60763982,8.1439852301,0.4423205615,41.0501474926,9.2847684278,0.5042793999
4,0.07,95.2309955471,2.2872575275,0.1167211219,37.9348958333,7.236584642,0.3692904136
5,0.07,93.2839446199,5.5374319482,0.2926623724,38.1815642458,7.3839623744,0.3902545379
6,0.07,30.6349206349,16.0317460317,1.2595729259,23.2901234568,10.7913328842,0.8478471845
7,0.07,66.7729930888,21.2596483759,1.2593128857,37.3192982456,11.9586926264,0.7083718157
8,0.07,92.7566776111,3.0735430342,0.157256142,38.8219895288,7.6749908825,0.392686695
9,0.07,52.4776763811,21.0959738485,1.3703307565,28.7088607595,11.6399775603,0.7560977925
10,0.07,16.8367346939,9.1859407632,0.7576436246,13.5918367347,8.3125633153,0.6856086668
11,0.07,0,0,0,0,0,0
12,0.07,0,0,0,0,0,0
13,0.07,0,0,0,0,0,0
14,0.07,11.9967793881,2.242896663,0.2700130282,11.2173913043,6.2132853575,0.7479916582
15,0.07,12.9032258065,2.7936303348,1.3968151674,32.5,7.3993242935,3.6996621467
17,0.07,39.9011427535,12.627522035,1.0379759174,44.5540540541,13.6363404498,1.1209002802
18,0.07,13.4803921569,1.7674270958,0.4286640354,16.9411764706,6.9744962984,1.691563819
19,0.07,21.3714285714,12.9203525573,0.5778157322,7.162,5.843608132,0.2613341003
20,0.07,15.975,8.0691929584,0.3608652796,6.496,5.7690539952,0.257999938
21,0.07,18.0857142857,8.271465581,0.3699111863,6.872,5.297887881,0.2369287488
22,0.07,15.325,6.9250902521,0.3096994511,6.766,5.2902971561,0.2365892812
23,0.07,12.4666666667,3.8986544054,0.1743531254,6.262,4.8999342853,0.2191317229
24,0.07,16.1111111111,9.4248162048,0.4214905942,6.898,5.7134574471,0.2555135848
25,0.07,15.88,9.9511607363,0.4450294372,7.412,6.0931318712,0.2724931412
26,0.07,30.3484320557,16.4804679114,1.2869083357,22.3658536585,11.5526495695,0.9021103715
27,0.07,23.6509404872,12.5496912199,1.056874657,16.2127659574,8.2863713714,0.6978383569
28,0.07,18.5,11.0895118345,0.7476547354,13.3272727273,8.3329674851,0.5618085532
29,0.07,17.6724137931,8.1469951632,1.0697528734,25.6379310345,10.3502428355,1.359053466
30,0.07,20.8,9.6392715262,0.4310813277,6.636,5.0828637597,0.2273125777
31,0.07,18.8888888889,9.3183300929,0.7321171553,12.1111111111,7.2690787706,0.5711127657
32,0.07,26.08,12.8931609778,0.5765996878,6.602,5.4706120316,0.2446532076
33,0.07,27.0591824283,14.521177598,1.1896212212,18.5838926174,9.9946970309,0.8187974844
34,0.07,22.1763085399,9.3125579856,0.8465961805,12.1487603306,6.7084024739,0.6098547704
35,0.07,18.9371980676,7.6664094396,0.6526081103,13.2826086957,8.7757811746,0.7470441037
36,0.07,17.275,9.7152907831,0.4344810122,6.484,5.0574444139,0.22617579
37,0.07,13.9838647714,6.4675691192,0.5525617204,11.7372262774,7.3596553325,0.6287777891
38,0.07,24.450891007,16.8134282259,1.0549683145,14.0354330709,9.9733268489,0.6257821828
39,0.07,22.1697099893,15.3389475973,0.9799694152,13.8693877551,9.767881647,0.6240470674
40,0.07,18.962585034,6.2016560108,0.8287311437,18.5,8.7116506555,1.1641432866
41,0.07,21.7604712042,13.336581989,0.9650012049,11.8848167539,7.4353992589,0.5380066084
42,0.07,26.9414893617,18.1065267389,1.1811395697,13.5446808511,8.7242096151,0.5691046847
43,0.07,29.6288659794,17.1080975508,1.2282898215,18.8969072165,10.2454259707,0.7355787164
44,0.07,14.8667122351,6.7628597928,0.5449667724,12.8701298701,7.3180982721,0.5897091641
45,0.07,22.3238482385,9.8848679627,0.8912885285,17.5040650407,9.8115362527,0.8846764308
46,0.07,18.3913043478,9.7456305948,1.0160522265,17.4891304348,7.9201100196,0.82572855
47,0.07,22.8,14.4051011373,0.6442157073,7.504,6.2020951299,0.2773661263
48,0.07,24.3333333333,13.8684293751,0.6202150165,6.988,5.3133657883,0.2376209418
49,0.07,11.94,5.0632400694,0.2264349796,6.58,5.5374723476,0.2476432919
50,0.07,18.4371184371,6.2115249533,0.5533666244,10.9523809524,6.5608956305,0.5844910381
51,0.07,16.175,7.3267915898,0.327664081,6.314,4.8620370217,0.2174369058
52,0.07,14.675,6.1202022025,0.2737037632,6.012,4.5821235252,0.2049187937
53,0.07,14.3333333333,3.5019835649,0.4043742308,12.3466666667,7.1916494785,0.8304201525
54,0.07,17.6470588235,4.5173391046,0.4472832215,12,7.4452248152,0.7371871058
55,0.07,25.0360750361,15.604652899,1.1089743922,18.0404040404,10.153288955,0.7215628262
56,0.07,14.6568627451,4.4924538377,0.4101030509,11.85,5.4842957615,0.5006454168
57,0.07,37.6441010547,13.8498127258,1.1270817752,40.1655629139,13.1120643419,1.0670446632
58,0.07,26.8072289157,16.2404432186,1.2605028542,23.3734939759,12.1721693658,0.9447435652
59,0.07,29.1770186335,14.7122637956,1.2434132344,24.5357142857,11.1562991267,0.9428793674
60,0.07,78.0221570544,15.8727094148,0.9210280162,37.4983164983,10.1062119041,0.586421893
61,0.07,14.9166666667,3.8360497622,0.4288834017,12.375,6.249749995,0.6987432916
62,0.07,20.9642857143,10.5592956436,0.9977596533,17.7053571429,8.5216514086,0.805220371
63,0.07,15.6850961538,5.056297679,0.6320372099,17.1875,8.0697641694,1.0087205212
64,0.07,64.3406148867,26.5336630716,1.5094473538,26.9935275081,11.3949382754,0.6482353899
65,0.07,26.25,11.1334643721,0.8801776416,12.49375,7.1972189725,0.5689901193
66,0.07,18.1612903226,8.0697402434,1.1412336097,23.82,8.26,1.1681404025
67,0.07,17.3597359736,7.8533986628,0.7814423739,11.6138613861,6.5581485812,0.6525601737
68,0.07,18.7916666667,8.5658195106,0.8742452929,16.5104166667,9.1923822534,0.9381935851
69,0.07,26.336421953,13.0707623919,1.1833712245,18.4918032787,8.7001468818,0.7876742886
1,0.08,15.0696864111,2.232753592,0.2465663865,10.5609756098,5.4304865725,0.5996969195
2,0.08,13.0074565037,2.7776395384,0.3296451657,12.4788732394,7.3864343776,0.8766084839
3,0.08,91.4411494625,7.2901626914,0.3769653386,38.1229946524,8.3586616905,0.4322161065
4,0.08,96.7734883128,1.8297901645,0.0893910991,36.0047732697,6.2279664992,0.3042560735
5,0.08,95.4390037991,2.317440244,0.1141720861,36.5703883495,6.8816201556,0.339033091
6,0.08,35.3811991118,20.2507564043,1.4576813424,22.0569948187,10.9460223113,0.7879119268
7,0.08,77.6418026418,16.0878803638,0.9107968732,37.9294871795,10.4639871914,0.5924066191
8,0.08,94.8236371965,2.4003720313,0.1189820242,36.0565110565,6.4074780186,0.3176068938
9,0.08,60.4651162791,21.0177024169,1.3161795796,30.2274509804,10.9889084621,0.6881521411
10,0.08,17.2435897436,9.1163222137,0.7298899228,12.8141025641,7.9314405902,0.6350234694
11,0.08,0,0,0,0,0,0
12,0.08,0,0,0,0,0,0
13,0.08,0,0,0,0,0,0
14,0.08,12.7988748242,2.9785961441,0.3351182483,11.0759493671,5.712017427,0.6426521697
15,0.08,13.3870967742,2.5038991446,0.7918024328,26.5,10.5380263807,3.3324165406
17,0.08,46.6568567634,11.8346496723,0.8654352955,45.4598930481,13.1190454683,0.9593596182
18,0.08,14.7916666667,3.602420097,0.805525622,17.1,8.2152297594,1.8369812193
19,0.08,22.4,14.0942599403,0.6303144664,6.964,5.201413654,0.2326142902
20,0.08,15.875,8.7419605925,0.3909523628,6.298,4.766255973,0.2131534471
21,0.08,18.5142857143,9.6084996387,0.4297051671,6.71,5.4448048634,0.243499076
22,0.08,16.15,7.5284460548,0.3366823429,6.898,5.5153962686,0.2466560196
23,0.08,13.2666666667,5.4019200976,0.2415812109,6.458,4.6368346962,0.2073655516
24,0.08,16.7111111111,10.9881192855,0.4914036333,6.934,5.3882876686,0.2409715502
25,0.08,16.86,11.4865312432,0.5136932937,7.402,5.895455538,0.2636527868
26,0.08,32.2049689441,17.2491696281,1.271625656,22.4510869565,11.2943713816,0.832632105
27,0.08,26.678497486,13.3469522905,1.1008380711,17.8911564626,8.3333027904,0.6873192299
28,0.08,20.4326923077,12.3570786496,0.856809244,13.4326923077,8.0285121994,0.5566771616
29,0.08,18.399122807,9.40262806,1.0785554084,23.6447368421,9.0781750244,1.0413380927
30,0.08,20.5333333333,9.3419008297,0.4177825059,6.678,5.1515353051,0.2303836626
31,0.08,19.3406593407,8.7037776905,0.6451669265,12.2637362637,7.2306356245,0.5359703716
32,0.08,27.44,13.9945132105,0.625853657,6.828,5.2921088424,0.2366703023
33,0.08,29.2929292929,14.6249085172,1.1183947068,18.7426900585,9.6362735641,0.7369042572
34,0.08,22.4537037037,9.4850931706,0.7904244309,12.0694444444,6.9388727649,0.5782393971
35,0.08,20.3831417625,9.4743761085,0.7182505992,11.6206896552,6.9550963359,0.5272644925
36,0.08,16.7,9.10961031,0.407394158,6.816,5.7315045145,0.2563206742
37,0.08,14.9930747922,6.823965631,0.5534967012,12.2105263158,7.4715526983,0.6060229484
38,0.08,26.511445901,18.8257478789,1.1478261063,14.2044609665,9.2571191627,0.5644165168
39,0.08,25.8707430341,17.2418196056,1.0454388737,14.5073529412,9.4639379967,0.5738355293
40,0.08,19.9507389163,6.9321351159,0.9102339342,18.5172413793,9.0520361194,1.188590573
41,0.08,24.5035046729,15.0789487585,1.0307757166,13.5046728972,9.170119937,0.6268564938
42,0.08,28.8759689922,18.9379117125,1.1790228842,14.3139534884,9.1561750603,0.5700385603
43,0.08,33.5315315315,20.6741427134,1.3875576068,19.0630630631,10.5491379429,0.7080117808
44,0.08,16.3229018492,9.4138275192,0.7738118554,13.1216216216,8.5114433347,0.6996363324
45,0.08,21.568627451,11.9894213363,1.0990684519,15.9831932773,8.1817415019,0.7500190138
46,0.08,20.5806451613,11.056378085,0.9928920626,16.4516129032,8.3910040526,0.7535344086
47,0.08,22.6571428571,14.5588461081,0.6510913914,7.266,5.7542370476,0.2573373039
48,0.08,25.4,15.2881944287,0.6837088399,7.142,5.9807889112,0.2674690113
49,0.08,12.24,5.1944585858,0.2323032501,6.424,4.9723459252,0.2223700699
50,0.08,21.5827338129,9.4042768013,0.7976603474,11.4100719424,6.6428009929,0.5634350264
51,0.08,16.45,8.3679447895,0.3742258676,6.636,5.3298690415,0.2383589898
52,0.08,14.85,6.2831122861,0.2809893236,6.374,4.8623167318,0.2174494148
53,0.08,15.1960784314,4.5060726252,0.4461676738,12.1568627451,7.131461773,0.7061199352
54,0.08,18.2186234818,6.3842786356,0.5979424787,11.6315789474,6.5924773156,0.6174420717
55,0.08,30.1286391334,17.5030676154,1.2049608673,20.2322274882,11.4307353309,0.786924273
56,0.08,15.5042016807,6.1377624322,0.5187356034,12.1428571429,6.9432098676,0.5868083361
57,0.08,37.4347103514,17.3463017493,1.3888156372,39.0128205128,13.7028853313,1.097108865
58,0.08,32.1973684211,19.5156952604,1.4158173416,23.4263157895,11.9728790938,0.8686039428
59,0.08,34.2144268775,18.0548868588,1.3609383033,27.4431818182,12.507141555,0.9427612668
60,0.08,82.6854584309,14.8643657878,0.8348659581,36.0220820189,9.7445034941,0.5473058429
61,0.08,15.6097560976,4.3204326034,0.4771119657,11.0243902439,5.3851095733,0.5946858683
62,0.08,22.3362831858,11.3227866574,1.0651581697,17.0796460177,8.2795639158,0.7788758557
63,0.08,16.7478091529,6.7604499204,0.760610041,14.582278481,6.7871949332,0.7636190901
64,0.08,72.2253787879,26.3636448673,1.4512708858,28.4090909091,11.3985342927,0.6274686616
65,0.08,30.0437530384,14.3143043796,1.0467656063,12.7219251337,6.9472959026,0.5080365916
66,0.08,23.8140417457,10.8165634495,1.3117009885,32,15.4852871348,1.8778668971
67,0.08,18.064516129,7.6843738268,0.6172237588,11.8451612903,6.880680701,0.5526695735
68,0.08,22.5040650407,10.8128002914,0.9749573688,17.1951219512,8.0825603049,0.7287799197
69,0.08,26.0537670096,14.1676849073,1.2378363777,17.0763358779,8.9737686609,0.7840418083
1,0.1,15.9711075441,3.3898414257,0.3593224725,12.2584269663,5.9671913667,0.6325210198
2,0.1,13.6284216657,4.2151443501,0.419422539,11.8415841584,6.7394694877,0.6706022783
3,0.1,95.889933821,2.7448751663,0.1362258672,35.1280788177,7.0789599967,0.3513228857
4,0.1,98.3513454825,1.2252406602,0.0573143406,33.6892778993,5.9575224062,0.2786811438
5,0.1,97.5983436853,1.4663297068,0.0698252241,33.9229024943,6.6662208499,0.3174390881
6,0.1,46.0585197935,22.7970995227,1.4447074809,24.5502008032,10.9617118401,0.694670262
7,0.1,87.6764679435,10.54615602,0.5744857249,36.6112759644,9.8381678398,0.5359191512
8,0.1,96.9563992109,1.5866468816,0.0773284374,33.7767220903,5.9056339855,0.2878229892
9,0.1,70.2467001886,17.9052364805,1.040720731,29.6824324324,9.5744149226,0.5565015636
10,0.1,19.4034090909,11.6195265596,0.8758547691,13.2954545455,8.5289068506,0.6428905431
11,0.1,0,0,0,0,0,0
12,0.1,0,0,0,0,0,0
13,0.1,0,0,0,0,0,0
14,0.1,13.251783894,3.8304371515,0.3668893388,11.7431192661,5.959194068,0.5707872717
15,0.1,14.6010186757,4.0356075803,0.9258318746,29.2105263158,12.2112068776,2.8014429873
17,0.1,57.5376725339,9.6504983414,0.6627989473,42.8490566038,9.7823410911,0.6718539445
18,0.1,15.1960784314,4.8340889518,0.8290394157,15.3529411765,5.2573889345,0.9016347638
19,0.1,24.7142857143,17.149403512,0.7669446405,7.29,6.6784653926,0.2986700521
20,0.1,18.5,12.0260134708,0.5378196724,7.196,5.9175657157,0.264641584
21,0.1,19,10.4305281922,0.4664674016,6.872,5.8933535445,0.2635587828
22,0.1,17,9.2398593063,0.4132190702,6.798,5.2189267096,0.2333974978
23,0.1,13.4222222222,5.7599725651,0.2575938041,6.124,4.63644519,0.2073481324
24,0.1,19.3333333333,13.1674870818,0.5888679242,7.75,6.3229344453,0.2827702247
25,0.1,20.54,16.574329549,0.7412265511,8.016,7.618119453,0.3406926592
26,0.1,44.2722371968,22.4174309921,1.5396354817,25.358490566,12.5841984469,0.8642862978
27,0.1,32.8913043478,17.6800887654,1.2501710658,19.255,9.7729204949,0.6910498354
28,0.1,22.6506024096,15.6711438202,0.9931183872,13.1285140562,8.5362180311,0.5409608374
29,0.1,21.0256410256,10.6400601972,1.0433437418,24.8461538462,9.7643082692,0.9574692
30,0.1,22.1666666667,10.9176208234,0.4882508463,6.756,5.4622764485,0.244280429
31,0.1,21.3265306122,11.7537063766,0.8395504555,11.887755102,6.7042214131,0.4788729581
32,0.1,31,18.5849401398,0.8311437902,7.406,6.2508530618,0.2795466473
33,0.1,35.8710255262,19.3837386733,1.3604717469,18.1379310345,9.8631368053,0.6922564932
34,0.1,24.6621621622,12.1334537717,0.9973637563,11.9594594595,7.2166084517,0.5932015606
35,0.1,22.967032967,11.972195601,0.8874381808,13.0274725275,7.7696445947,0.5759243747
36,0.1,18.8,12.0024997396,0.5367681064,6.756,5.5728326729,0.2492246537
37,0.1,17.3541963016,9.4360612876,0.6937530234,13.5405405405,8.2317598348,0.6052110196
38,0.1,34.3567251462,23.5207520898,1.3859736084,16.125,10.7579912158,0.6339207117
39,0.1,30.8682289666,21.400326217,1.2928409872,15.2445255474,9.8948148311,0.5977676249
40,0.1,20.3921568627,8.4115739514,0.9123632941,15.3294117647,7.8701046189,0.853632699
41,0.1,30.5076628352,19.3792790034,1.1995472561,14.7969348659,9.4354507083,0.5840397367
42,0.1,32.7155172414,21.8428186078,1.2826544738,14.2620689655,9.2176896572,0.5412813744
43,0.1,39.5748031496,23.3994816838,1.468214062,19.9724409449,11.2734108272,0.7073567067
44,0.1,16.7603474706,8.9747566275,0.6253009238,13.2815533981,8.4920493664,0.5916691153
45,0.1,30.235042735,16.1847514474,1.2958171845,19.3974358974,9.838881195,0.7877409406
46,0.1,22.3790849673,11.8327155519,0.9566183541,16.9607843137,7.4121278052,0.5992350167
47,0.1,27.7142857143,19.7762999779,0.8844230219,8.02,6.5848006804,0.2944812388
48,0.1,27.1333333333,17.8389087858,0.7977802538,6.88,5.755484341,0.2573930846
49,0.1,12.82,6.2167193921,0.2780201432,6.468,5.3427498538,0.2389350372
50,0.1,22.4979321754,9.7520679978,0.7150563187,11.6505376344,5.9569625596,0.4367856868
51,0.1,18.475,11.7361354372,0.5248559326,6.884,5.7196629271,0.2557911023
52,0.1,15.9,8.2349863388,0.3682797849,6.47,5.558515989,0.2485843921
53,0.1,15.8185840708,5.3931954616,0.5073491518,12.610619469,7.2324656787,0.6803731394
54,0.1,18.1708055724,6.0027864236,0.5326611608,11.3622047244,6.447448731,0.5721185601
55,0.1,39.2711370262,23.0338874435,1.4715810889,20.9346938776,11.1569425813,0.7127909152
56,0.1,16.6851646319,6.9153697303,0.548424493,12.5408805031,7.1389992237,0.5661594655
57,0.1,51.5504891684,16.7335676907,1.1492661474,41.3301886792,13.9051515485,0.9550097292
58,0.1,41.7811158798,22.8505911222,1.4969919978,25.8884120172,12.9560330641,0.848777947
59,0.1,42.5143560295,21.0717496919,1.4472137105,27.3773584906,12.9959738542,0.8925671488
60,0.1,90.025466893,11.2718455597,0.5782334766,33.5052631579,8.2262400239,0.4219972092
61,0.1,15.1063829787,4.2582732063,0.4392073457,11.670212766,5.6557037636,0.5833413024
62,0.1,27.8461538462,15.6098891429,1.2497913648,18.8782051282,9.8367071236,0.7875668756
63,0.1,18.7388193202,8.5359492756,0.9204550823,18.4651162791,9.604623008,1.0356931345
64,0.1,86.5444214876,20.6020159073,1.0813254027,28.8870523416,9.2513671309,0.4855708458
65,0.1,34.4186046512,18.0135782764,1.2285158418,14.2465116279,8.5556821548,0.58349268
66,0.1,27.3439855291,14.9483164986,1.4451083009,29.8224299065,12.5726398421,1.2154429699
67,0.1,19.9621212121,8.9470145997,0.6744066005,12.9261363636,7.5843887858,0.5716948152
68,0.1,23.75,11.937045512,0.9947537927,17.5763888889,8.6334136588,0.7194511382
69,0.1,30.5106167846,16.592325913,1.2651529901,18.2674418605,9.2904357154,0.7083890822
1,0.11,15.3174603175,2.7274349647,0.2874968886,10.9444444444,5.762640427,0.6074356362
